일시,전압,전류,출력,전압(RS),전압(ST),전압(TR),전류(R),전류(S),전류(T),출력,누적발전량,주파수,역률,경사,수평,모듈(℃),외기(℃)
2022-01-01 7:30,299.5,3.3,1,388.93,390.76,389.06,1.5,8.8,8.4,4.21,"212,328.30",59.9,0,0,0,-5.300000191,-3.8
2022-01-01 8:00,670,10,6.74,390.44,393.74,391.92,1,14.3,14.4,6.73,"212,329.00",59.9,99.9,64.18,72.06,-4.100000381,-4.1
2022-01-01 8:30,673,21.2,14.29,389.12,393.14,390.48,3.9,30.4,31.1,14.79,"212,334.41",59.9,99.9,142.93,157.11,-1.600000381,-3.6
2022-01-01 9:00,660,30.1,19.76,390.54,395.3,392.74,9.3,42.2,43.6,21.61,"212,343.59",60,99.9,214.2,236.25,1.799999237,-2.6
2022-01-01 9:30,626,37.3,23.7,389.34,394.28,391.48,13.4,51.4,53.5,26.8,"212,355.80",60,99.9,292.56,317.76,6.200000763,-1.2
2022-01-01 10:00,622.5,43.2,26.95,389.14,394.77,391.52,16.3,59.1,61.8,31.1,"212,370.30",60,99.9,376.03,408.32,10.20000076,-0.1
2022-01-01 10:30,624.5,47.2,29.03,390.76,395.32,392.65,21.5,61.5,64.5,33.51,"212,386.20",59.8,99.9,432.73,476.44,13.79999924,1.5
2022-01-01 11:00,602,51.3,30.58,391.66,396.45,394.05,21.3,65.3,68,35.23,"212,403.30",59.9,99.9,428.79,480.38,22.40000153,4.5
2022-01-01 11:30,360,63.4,22.72,389.94,394.52,392.04,12.9,51.4,53.9,26.81,"212,421.09",60,99.9,488.25,526.44,23.09999847,6.5
2022-01-01 12:00,595,48.6,29.12,390.44,396.41,393.97,10.8,65.4,67.1,32.66,"212,437.91",59.9,99.9,500.06,534.32,17.29999924,6.5
2022-01-01 12:30,616.5,46.3,28.72,379.21,384.66,382.28,20.6,63.1,66.1,33.11,"212,459.00",60.1,99.9,456.75,492.98,15.90000153,6.1
2022-01-01 13:00,601.5,46.5,28.27,387.73,392.97,390.62,19.6,61.4,63.6,32.66,"212,471.30",60.1,99.9,444.15,478.01,17.5,6.7
